Month,Business_Entity,Forecast_Revenue,Actual_Revenue,Remarketing_Revenue,Freight_Cost,Legal_Cost,Material_Cost,Capital_Cost,Rebates,Deferred_Revenue,Gross_Margin,Disruption_Event,Variance_$,Variance_%,High_Variance_Risk
2022-01-01,Retail Banking,3627451.85,3562806.55,174902.62,125267.5,40700.54,272335.81,113508.47,56379.93,158452.67,2954614.3,0,-64645.30000000028,-0.01782113248450156,0
2022-02-01,Retail Banking,3764930.44,3900753.32,213009.34,117535.57,34321.36,282480.34,136013.02,79125.57,170449.59,3251277.47,0,135822.8799999999,0.036075800646133555,0
2022-03-01,Retail Banking,3843699.44,3044818.15,136662.42,175657.3,68633.42,345468.21,133495.64,32542.32,171644.97,2289021.25,1,-798881.29,-0.20784176871019863,1
2022-04-01,Retail Banking,3852076.16,3697413.58,270377.49,127128.04,35919.7,272006.88,136453.01,108673.24,188587.74,3017232.7,0,-154662.58000000007,-0.0401504470773496,0
2022-05-01,Retail Banking,3797322.41,3828838.13,329638.89,133718.38,44665.89,300431.66,126573.8,101750.42,131214.79,3121697.98,0,31515.71999999974,0.008299458565068153,0
2022-06-01,Retail Banking,3704115.32,3602899.96,241879.98,130958.72,43948.33,294526.69,142478.86,36426.91,189579.04,2954560.45,0,-101215.35999999987,-0.02732511038560211,0
2022-07-01,Retail Banking,3608260.3,3730755.82,163042.36,135825.23,42354.38,307181.34,142157.72,61997.55,84099.94,3041239.6,0,122495.52000000002,0.033948637242163494,0
2022-08-01,Retail Banking,3547241.04,3678600.53,206955.0,137841.86,53109.14,316761.88,148548.2,45584.79,178521.72,2976754.67,0,131359.48999999976,0.03703145304160096,0
2022-09-01,Retail Banking,3550095.5,3751621.35,242691.56,135644.27,34912.02,343452.93,143701.1,61103.11,151351.01,3032807.92,0,201525.8500000001,0.056766317976516434,0
2022-10-01,Retail Banking,3629347.96,3726190.6,195493.14,146401.02,45369.1,304888.05,141093.96,106546.52,194972.23,2981891.95,0,96842.64000000013,0.026683206203243222,0
2022-11-01,Retail Banking,3777232.14,3957759.45,195230.35,138590.82,48869.42,355273.48,141251.48,57619.85,146770.78,3216154.4,0,180527.31000000006,0.04779354387257757,0
2022-12-01,Retail Banking,3967329.05,4068874.73,337865.24,137631.4,47808.06,295752.9,144960.35,50443.09,136326.05,3392278.93,0,101545.68000000017,0.025595477138454188,0
